maxgap  mingap  runtime     total   1-patterns  2-patterns  3-patterns  4-patterns  5-patterns
-       -       182.2       2353    59          512         1308        453         21

5       -       143.7       1618    59          411         882         256         10
4       -       128.4       1310    59          383         713         149         6
3       -       105.8       913     59          337         465          52         0
2       -        76.4       486     59          263         162           2         0
1       -        49.1       207     59          146         2             0         0

-       2        76.3       624     59          379         186           0         0
-       3        53.0       342     59          276         7             0         0
-       4        37.5       225     59          166         0             0         0
-       5        32.3       144     59           85         0             0         0
-       6        31.2       101     59           42         0             0         0
-       7        31.5       73      59           14         0             0         0
-       8        31.3       60      59            1         0             0         0
-       9        31.7       59      59            0         0             0         0

5       2        65.6       419     59          285         75            0         0
3       3        34.2       118     59           59         0             0         0
2       5        31.4       59      59            0         0             0         0

